address,price,description,bedrooms,bathrooms,latitude,longitude,postcode,property_id
"Millharbour, London",1950,"Here on offer is a lovely one bedroom apartment in the soughtafter development of Millharbour, South Quay. This property comprises of a private balcony with views over Millwall Dock, alarge full... ** Property Reference: 2420328 **",1,1,51.4983409,-0.0188605,E14,0719496b853520452c63251ef6efadcd
"Market Road, Islington, London",2550,VIRTUAL TOUR AVAILABLE A brand new one bedroom apartment in the eagerly anticipated London Square development.,1,1,51.5461792,-0.1223832,N7,ee604be9abaf6bd1c415d1f6a6ddefba
"Shoot Up Hill, London",2325,"2 bedroom, 2 bathroom : One double bedroom + Ensuite bathroom & One single bedroom + Separate bathroom. Parking available on request (£150/month extra) Flat is within a gated apartment block... ** Property Reference: 2282411 **",2,2,51.549686,-0.2065839,NW2,b43f0e9f7f79adb1902765efda7b827c
"D'oyley Street, London",8342,This spacious raised ground floor flat is situated in a well maintained red brick building moments from Sloane Square.,3,3,51.4942205,-0.1566182,SW1X 9AQ,9b9b019e2c25b762bf68cba115c41608
"Rathbone Street, Canning Town",1900,"High specification one bedroom apartment with private patio situated in a significant and exciting development in Canning Town, an exciting place to call home in East London. The property is located moments from Canning Town Station which has direct trains to Canary Wharf (Jubilee Line). The propert",1,1,51.5154515,0.0113924,E16,b1ee93a2a6dc17df6f24277fb20f3564
"Hiley Road, London",2250,"Presenting this stunning split level two bedroom, two bathroom, conversion which is located in the heart of the Kensal triangle.",2,2,51.5316438,-0.2263187,NW10,9498f62534813b498f81aa2be0dcbc64
"Georgette Apartments, 4 Cendal Crescent, London",2150,Let UK Home are excited to offer this spectacular studio apartment in the heart of Georgette Apartments part of The Silk District in Whitechapel.,0,1,51.5180984,-0.0563644,E1,24fec333e79255e2e0d763e836644203
"Clock Tower Mews, Barnsbury",5300,SHORT LET - Stunning three double bedroom Mews House is situated close to Regents Canal. The house comprises; spacious reception room leading to a secluded private garden.,3,3,51.5352699,-0.0931155,N1,e5f202178058f270b0a602070cd91883
"Highbury Stadium Square, Highbury",2000,A well-presented one bedroom apartment set within the Highbury Stadium Square development close to the amenities of Islington. The property is moments away from Arsenal (Piccadilly Line) underground station. EPC-B,1,1,51.557356,-0.1032715,N5,51cdcccf17bbe4d9796cad906b661b34
"Cheltenham Road, London",930,"Tastefully decorated throughout, room in a luxurious Victorian 4-bedroom house in Peckham, is available soon. Fully furnished, the rooms are bright and boast gorgeous solid maple flooring with vie... ** Property Reference: 2383853 **",1,2,51.4571411,-0.0522004,SE15,f91dc92527990b2ae1f932c222af25da
"Jewel House, 5 Sterling Way",3250,Let UK Home are excited to offer this spectacular 2 bedroom apartment in the heart of Jewel House part of the Caledonian Road.,2,2,51.5462099,-0.1188166,N7,7e050b337dbefc3645208e3acea6afa3
"Muriel Street, King's Cross, London",3467,"ZERO DEPOSIT AVAILABLE. LONG LET. This fantastic 3 bedroom duplex apartment features a modern open-plan kitchen, main bedroom with a private balcony, 2 bright and spacious bedrooms upstairs.",3,1,51.5348754,-0.1148298,N1,0a6eae79951ec2c769f2e099368f9551
"Muriel Street, King's Cross, London",4984,"SHORT LET. This fantastic 3 bedroom duplex apartment features a modern open-plan kitchen, main bedroom with a private balcony, 2 bright and spacious bedrooms upstairs.",3,1,51.5348754,-0.1148298,N1,ad329d20659470faa19b9c9f1be862e1
"Sloane Avenue, Chelsea, London",2492,LONG LET. This bright studio apartment is enviably located in a popular serviced apartment block just moments from London's famous King's Road.,0,1,51.4922982,-0.1657063,SW3,4f305814eddf79089cde36922647137b
"Sloane Avenue, Chelsea, London",4334,SHORT LET. This bright studio apartment is enviably located in a popular serviced apartment block just moments from London's famous King's Road.,0,1,51.4922982,-0.1657063,SW3,75b1245bb67b9961aa812cf2d8ec64ab
"Queens Wharf, 2 Crisp Road",2496,"Spacious, furnished 4th floor apartment situated in a coveted development located next to the Grade II listed Hammersmith Bridge in Hammersmith, W6. The development offers a host of excellent amenities and Riverside walkway connecting to the Thames Path, leading to Chiswick and Barnes, or Fulham and",1,1,51.4884072,-0.2284018,W6,8eca00a2e2f10da656dd64e25282851e
Warwick Way,3900,Large 3 bedroom flat spread across 3 levels.,3,2,51.4913333,-0.1429567,SW1V,b6b7743b98206e9709f857a51338212a
Meranti House,3683,"Please quote reference JC24071535 when contacting the office.Two bedroom two bathroom apartment to rent in Meranti House, Goodman's Field, E1Available immediately. 5th floor 1073 SQ FT/ 100 SQ M",2,2,51.5146096,-0.0687516,E1,4f9a1354f7d830d863807df5050e6743
"Westwood Building, Lockgate Road",4000,Contemporarily furnished 6th floor apartment situated within a popular development with excellent onsite amenities located on the fringes of Fulham and Chelsea. A short walk from Imperial Wharf Underground Station and less than a mile from Fulham Broadway Underground station (District Line).,2,2,51.4766145,-0.1846161,SW6,aa4a19f703ac34d7cf99e6e894a5218b
"Commercial  Street, London",2600,"We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location. Available to move in from 01 April 2025. Property is offered furnished. Viewing highly recommended. Contact... ** Property Reference: 2429263 **",2,2,51.5191041,-0.0745387,E1,f6544d3a3cf43d0118c5d10a402643d1
LONDON,2903,Great view,0,1,51.5097502,-0.017595,E14,6e299e9364bf0e42f1d54ccdda924b8d
"Lanercost Road, London",4050,"Newly refurbished to a designer high end specification. Well located house on a quiet and prestigious road. Tulse Hill station 2 minutes walk, many local buses. Fantastic local transport links.... ** Property Reference: 2422484 **",4,3,51.4398054,-0.1109592,SW2,cb8c94d4c569b4dcf1b32d25d4090414
"Aldbourne Road, London",1600,All bills included - all en-suite studios / roomsTwo Stylish Ensuite Studios & One Double Room - En-suites / all bills includedLooking for the perfect mix of privacy and friendly shared living... ** Property Reference: 2002658 **,1,3,51.5079902,-0.2424604,W12,848c2aa710f30a40188be8143efb12d4
"Lea Bridge Road, London",1150,"Please note: this listing is for women only. Studio available at £1150! Available to move in from 27 March 2025, this property benefits from available parking, and garden access. Property is off... ** Property Reference: 2396177 **",1,3,51.5640124,-0.0413747,E5,1b9e2a22af489fef7e45fd418920b93f
"Jerome House, Lisson Grove, Marylebone, Baker Street",4498,A spacious 2.5 bedroom apartment set on the 7th floor (with lift) in a sought-after building close to the amenities of Baker Street and Marylebone. Central location moments from Baker Street & Marylebone Underground & Train Stations. EPC-C,3,2,51.521549,-0.1645428,NW1,00a7d7fb13ba8ae5dc9c380b7d989136
"Sunnyside Place, London",4000,"Very well-presented town house with three double bedrooms, a garage and a private garden in the heart of Wimbledon Village.",3,2,51.4220977,-0.2149016,SW19,9d35ce1c31646fece107cc260768adad
"Lockesfield Place, London",4680,"6 bedroom 6 bathroom house in a gated development. Private garden. A short walk to Island gardens or Mudchute dlr station. Brand new throughout. Fast links into the City via DLR, Jubilee line. Students and professionals welcome. NO COMPANY LETS. STC",6,6,51.4878009,-0.0148397,E14,c355746cb52202dfb331c1a129eed6cd
"Abbey Parade, London",1850,"A spacious, furnished one bedroom flat in a very nice area. Private entrance. Large double bedroom with great storage place. Large living room and ample fully fitted kitchen. Spacious and new bath... ** Property Reference: 2409185 **",1,1,51.4160851,-0.1851971,SW19,9a6f1791b4753bd589acd25ede2965f2
"Down Place, Hammersmith, London",2200,"A bright and specious 560 sq ft modern 1 bedroom, 1 bathroom flat in the vibrant heart of HammersmithThe development benefits from underfloor central heating, lift, security system, 24-hour CCTV,... ** Property Reference: 2426874 **",1,1,51.4920595,-0.230332,W6,bec816320d36fd2f18d58d75439a4d3e
"Queens Gate, Kensington, London",14300,"An exceptional three bedroom first floor apartment in the heart of South Kensington boasting 2290sq ft of lateral family living. Featuring an impressive double reception room spanning over 6 full size windows which opens up on to a private balcony, this elegant apartment comprises three double be...",3,3,51.4968664,-0.1792344,SW7,de2c8be50a72ad717af6f491ebc905f9
"Manor Road, London",3683,"Students welcome Available from 19th August 2025 Reiss-Samuels are proud to present to the market this 4 bedroom house minutes away from West Ham Station . Property features 4 double bedrooms 3 bathrooms, a spacious living room with a private garden and a fully fitted kitchen.",4,3,51.52929,0.0048937,E15,aaad69d8ce985108f28fe2e4061a532c
"Ranelagh House, Elystan Place, London",6283,Modern 3 bedroom duplex apartment in the heart of Chelsea.,3,2,51.49072260000001,-0.1635357,SW3 3LA,8fc84d8fc4b4d70377be4acf36bb9b16
8 Carnation Way,4442,"A superb 2 bedroom to rent in the iconic Thames City, SW8 An amazing collection of premium residences offering a level of modern luxury which has not yet been seen in Nine Elms, all within a Zone 1 location. This contemporary 2 bedroom apartment has been thoughtfu...",2,2,51.48280829999999,-0.1280446,N9,14a7542aa81ca2eb4a0f5d513be21aa7
"14 Western Gateway, Docklands, London",2899,"Docklands E16. **Available Immediately** Large, light and modern 3 bed 2 bath apartment in a sought after development. Finished to a superb standard throughout, the property is offered fully furnished and would be perfect for both students and sharers.",3,2,51.5081727,0.0219161,E16,edf1d278db4b42cebd92289edb3bbfee
"Felix Point,  Epstein Square, London",2250,2-bed 2-bath apartment with balcony closed to DLR stations. Bills included.,2,2,51.5129919,-0.020334,E14 6FX,fbde2e8a64a06294e4ba4b3d0a67654a
"Marmara Apartments, London",1850,"Spacious 1 bedroom furnished apartment with a modern fitted kitchen, modern bathroom, spacious living room, spacious bedroom, large balcony with access from both the living room & bedroom, 24... ** Property Reference: 2424249 **",1,1,51.50789109999999,0.0209912,E16,2862fee26fd612eaef9827f570b0bab0
"Kew Bridge Road, Brentford",2100,"***ARLA AGENTS*** The Frost Partnership are excited to present to you a modern, spacious 2 bedroom apartment set in Chaplin Court, the latest phase in the popular riverside Kew Bridge development. The Building consists of 6 floors. Inspired by Art Deco decadence, designed by leading urban archit...",2,1,51.4886951,-0.2891495,TW8,aad250b1a7941be0b3fc528ca9055b70
"Richards Place, London",5850,A charming semi-detached house located in the heart of Chelsea,3,3,51.4945007,-0.1658512,SW3,7a6ba57a65a392b2fb53374a8515b3e7
"Milner Street, London",4117,"This newly decorated, bright first floor two-bedroom apartment is situated on Milner Street in Chelsea.",2,2,51.4946492,-0.1627213,SW3,7520c12408c1b129c9057e0b946ca806
"Ennismore Gardens, London",3146,A bright and immaculate fourth floor two bedroom penthouse apartment in an attractive stucco fronted period building with well maintained communals.,2,1,51.5001649,-0.1705455,SW7,e79ab4e5a614dfe802b16a60c11568cc
"Thurloe Street, London",4983,Beautiful and bright three bedroom duplex apartment in the heart of South Kensington.,3,1,51.4945444,-0.1732666,SW7,83484413626a10c9d29a8e670c705573
"Wiverton Tower, 4 New Drum Street, London",2950,A beautifully presented one bedroom apartment situated on the 11th floor of this development located in the heart of the City.,1,1,51.5150939,-0.0713558,E1,df3d529278a70f2c240c243e02facba4
"Chevalier House, 60 Brompton Road, Knightsbridge, London",9750,A superb lateral apartment situated on the eighth floor of a prestigious residential building.,3,2,51.50040019999999,-0.162899,SW3,7634aa3d42747c543ac82359680889bf
"Queen's Gate Terrace, London",2496,Well presented studio apartment ideally located on a prestigious South Kensington residential street.,1,1,51.498681,-0.1821726,SW7,399e9d8171dd4a09fe5f5cb2b512c8a8
"Ivor Court, Gloucester Place, London",2600,"Superbly located close to Regents Park and London Business School, this capacious one bedroom flat with new wooden floors beautifully arranged on the third floor of a popular block in Marylebone with lift and 24 hour concierge.",1,1,51.52516360000001,-0.1618938,NW1,19c02e6980ac23bc389d59f5fa5d56ff
"Princes Gardens, West Acton, London",3400,We are pleased to introduce to the lettings market this wonderful family home situated in the heart of West Acton.,4,1,51.5182065,-0.2816958,W3 0LY,468a2318526fdf13a07867a5e0a8e7d6
"Maida Vale, London",2650,"Located in sought-after Maida Vale, this bright and refurbished three-bedroom flat with a private balcony is offered unfurnished. Set within a secure portered block with a concierge, lift access, and communal gardens.",3,1,51.5280043,-0.18519,W9,5e78e00da2fbfbb7b0fdafaa88cda0dd
"Nelson Road, Twickenham",1200,"Spacious Studio for Rent in Twickenham – £1,200 PCM (All Bills Included) This newly renovated studio is located in a quiet and friendly neighborhood in Twickenham, ideal for a single occupant. Pro... ** Property Reference: 2419926 **",0,1,51.4527839,-0.3622527,TW2,9565b00837c8cb9534a9d3eb398afdb2
"St. Owen House, London",2100,"This is a stunning, newly done-up property, with a professional landlord and on-site parking. A 2-bed duplex with a large kitchen, plentiful storage, a large living/dining space downstairs. Upstai... ** Property Reference: 2429162 **",2,1,51.4971662,-0.0780376,SE1,13d2e6d145c6ec17676b3fa0095f8301
"Angel Lane, London",2250,"Stunning 2 bedroom apartment within a 3-minute walk of Stratford Underground / DLR, Stratford Shopping Centre and Westfield. Beautiful high-rise building Stratford Eye, which is a local landmark.... ** Property Reference: 2429144 **",2,2,51.5443053,-0.0002023,E15,e2dd49142e6b2bddaf65af266554b029
"London, London",1950,"Stylish and modern 1-bedroom apartment in a prime location, just moments from Ealing Broadway Station and local amenities. Featuring sleek interiors, an open-plan living space, and contemporary fi... ** Property Reference: 2429137 **",1,1,51.5093689,-0.299988,W5,ff0cbd6dffedbc21da6327f215b2334f
"Roffo Court, London",2400,"We are proud to offer this spacious 2 bedroom, 2 bathroom flat in a great location. Available to move in from 20 April 2025, this property benefits from communal garden access. Property is offere... ** Property Reference: 2411894 **",2,2,51.4836142,-0.09314349999999999,SE17,05097a15d26d273648311f8b44784b8f
"Dunston Road, London",4000,This is an amazingly spacious house in Battersea in a great location with good public transport connections. The house has just been refurbished with a brand new kitchen and appliances and decorat... ** Property Reference: 2415569 **,3,2,51.467721,-0.1531895,SW11,0f3bee37818a014c5bde1365eb76e089
"Westmorland Close, Aldersbrook",1900,"Petty Son & Prestwich are delighted to offer this well presented three bedroom mid terrace house with South/Westerly garden, located on the sought After Aldersbrook Estate.",2,1,51.5637591,0.0436303,E12 5HS,d229d953e2e5579080fc9228e02e6ef1
"Kensal Green, London",2400,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 27 April 2025. Property is offered furnished. Viewing highly recommended. Contact... ** Property Reference: 2352871 **",2,1,51.5345071,-0.2250186,NW10,364b82c458ed9b27c4d8d8caac7e439e
"Welby Street, London",2125,"Stunning modern studio flat, marble bathroom with large shower. Beautiful private studio flat opposite park. Brand new and recently finished, stylish hotel style en suite bathroom and king sized b... ** Property Reference: 2314434 **",0,1,51.4728363,-0.1016757,SE5,ca39a50e78ef4c01e3818e54872395a4
"KINGSTON ROAD, 3 bed 2 rec 1 bath unfurn",2100,"This spacious three-bedroom flat offers practical living in a convenient location near Wimbledon Chase BR. With large double bedrooms, a bright living room, and a fully equipped kitchen, it provides an excellent opportunity for customisation to personal taste.",3,1,51.4105295,-0.2175638,SW20,09621e917466eb99286e1649c081412a
"Daneville Road, London",2695,"Just seconds away from the shops and bars of Camberwell in a hidden very quiet street. This architect designed boutique space has a beautiful private garden, lovely kitchen looking out to the priv... ** Property Reference: 2175866 **",1,1,51.4725491,-0.0913829,SE5,2eb24210440a4db721cf4d226237f6b8
"Parkside, Knightsbridge",19500,"Luxury Parkside Apartment is located in the heart of London (Knightsbridge), close to the city`s famous landmarks and the charming areas of Belgravia, Mayfair and Chelsea. Within walking distance of Harrods and Harvey Nichols, the city`s best shopping streets are on the doorstep.",4,3,51.50246019999999,-0.1576724,SW1,e3d065c0f6e3e422789a21e2a48b3a31
"Tom Nolan Close, London",900,"Single bedroom in a modern, furnished house in a great location. Includes parking, weekly cleaner, gas, electricity, water, council tax and gardening. House has 2 full bathrooms and 3 additional... ** Property Reference: 2429093 **",1,2,51.5296244,0.0067964,E15,f408fd311588c593c13555ab56a3bc9e
"39 Melliss Avenue, Kew",10833,"Offering 950 sq ft of living space and secure underground parking, a ground floor two-bedroom, two bathroom apartment in this popular riverside development",2,2,51.4791587,-0.2781389,TW9,f3beb758e1eee4f58809e48a600783f7
"Trewint Street, London",1474,Gym included | No deposit | New riverside co-living space | Centre of Earlsfield | Fully furnished studio | Cinema | Co-working | Events programme,0,1,51.4396819,-0.1875984,SW18,f135bb583ec1b68655cef346d3226018
"Fordwych Road, London, West Hampstead",2300,"Available SHORT LET ONLY from 18th APRIL for 3 months Spacious 2 x double bedroom Garden Flat on Fordwych Road. Pet friendly. Currently part-Furnished. Available immediately, a spacious 2 x d... ** Property Reference: 2428980 **",2,1,51.5500913,-0.2039216,NW2,911cf78f16b86c931c7d6da050eb2d1d
"Scott Avenue, London",2600,"A beautifully presented 2 bedroom, 2 bathroom apartment situated on the penthouse level of a superb development offering a residents Gym and library. The property benefits from a large Living room... ** Property Reference: 2429004 **",2,2,51.4520966,-0.2108717,SW15,685d8f9acca75ee72ea676f8a59a771b
"Hampden Way, London",1500,"This modernised first floor one bedroom flat has a newly fitted kitchen, newly fitted bathroom and comes with gas central heating, recently fitted carpets and has its own balcony. Hampden Way is i... ** Property Reference: 2424703 **",1,1,51.6268743,-0.1401593,N14,40e29e890fde93c61a28f2c7d90acf05
"Tradewinds Court, London",1750,"A very bright, well proportioned, three bedroom sub-penthouse with a south-facing balcony and great views on the 6th floor of the popular Quay 430 secured development with an on-site Estate Manage... ** Property Reference: 2429029 **",1,2,51.5073707,-0.06578600000000001,E1W,14f2ffe7e106aa789d2bc9b8808dd45a
"London, London",2700,"Superb 2-Bed Flat for Rent (BILLS INCLUDED) Looking for a exceptionally spacious, stylish and modern home? Be the first tenants to live in this stunning, beautifully furnished, almost-new flat. W... ** Property Reference: 2423670 **",2,1,51.59388939999999,-0.0529637,N17,fc56e1015277c2b851b1fbdb3653e4b5
"Sirdar Road, London",1800,"This spacious two double bedroom ground floor garden flat is in excellent condition, and is available to rent from 24th March. Located on a quiet residential road 10 mins walk from Turnpike Lane U... ** Property Reference: 2412125 **",2,1,51.5938282,-0.0959862,N22,b4e3699d79ac771ba6b9e84c6446f277
"Wandsworth Bridge Road, London",3350,A huge 3 double bedroomed maisonette with large dining kitchen laid out on 2 floors many options to make the large top floor into a bedroom or sitting room and one of the 3 rooms downstairs into a... ** Property Reference: 2422900 **,3,1,51.4693149,-0.1908708,SW6,930fed6d709ab474d358fa0e44c94f3e
"Ambassador square, Isle of dogs, Canary Wharf, London",5590,"Students or working professionals 6 bedroom townhouse with 6 bathrooms and 2 living rooms in Ambassador square.. All bedrooms are large doubles offered furnished. Fast links into the City via Dlr, Jubilee, Elizabeth line Thames clipper and bus.. Private garden to the rear.",6,6,51.4906911,-0.0182395,E14,90f76b8f931d8ee39296ea0305290ead
"London, London",2400,Fantastic 3 bedroom house in a quiet area of sought after Walthamstow Village. Walking distance to Walthamstow Central station and Wood Street overground with access to central London within 20... ** Property Reference: 2377304 **,3,1,51.5833755,-0.0176415,E17,4a1067f0fed4699a241d9ed8c640ce75
"Sheringham Avenue, London",2750,"A Three Bedroom semi detached house to rent within half a mile of Oakwood Tube Station. Fully redecorated (March 2025). Available Immediately to professional applicants on an Unfurnished basis. Please note - referencing requires applicants to show in excess of £82,500 combined in...",3,0,51.5510127,0.060179,E12 5PB,d0d466558c51666770428be2b7fc8138
"Harp Island Close, London",1100,"*A LARGE STUDIO FLAT NEAR TO WEMBLEY PARK/NEASDEN* We are delighted to bring to the market this top floor studio flat. It is within easy walking distance to local shops, buses and Neasden shopping centre. The property comes with a large living area, a separate kitchen and a separate shower room a...",0,1,51.5657847,-0.2584303,NW10 0DD,c568d6d3bcf479bcc9fc950d44a6a014
"Sinclair Road, London",2492,Luxury Kensington Designer Entire One Bedroom Flat for Professional / Relocator (Short Term Let & Long Term Let) - Super fast fiber Wifi - Newly Renovated Flat Newly Renovated: Beautiful one... ** Property Reference: 2348137 **,1,1,51.5000773,-0.2139411,W14,36c7be498615c2fda54deefb0e2601f7
Upper Thames Street,2200,"Available April 2025, a fantastic pied a terre in this popular purpose built portered building on the riverside with a stunning communal roof terrace for residents. The property is located on the fifth floor (with lift) and accommodation comprises entrance hall with storage space, self...",1,1,51.5111182,-0.0958293,EC4V,b3c016c541cdb31535e825168d643a33
"East Arbour Street, Stepney Green, London",1850,"*Alternative Deposit Option Available* An attractive one bedroom property forming part of a beautiful courthouse conversion near Stepney Green Park. This beautiful apartment comprises an open plan living area with a fully integrated contemporary kitchen, a large bedroom and a mod...",1,1,51.5153191,-0.0474548,E1,04667abda7d4fdc5e0afef3e95ef552c
"Trewint Street, London",1465,Gym included | No deposit | New riverside co-living space | Centre of Earlsfield | Fully furnished studio | Cinema | Co-working | Events programme,0,1,51.4396819,-0.1875984,SW18,968983b48982eb9771cd71f347b192db
"Eloise House,  Portland Road, Norwood Junction",2150,"Large lateral, never been lived in before, new and expertly crafted 1014 sqft / 94.2 sqm 3 bedroom, 2 bathroom apartment available to rent unfurnished with Three Sixty Property. A well proportioned three bedroom, two bathroom apartment with balcony on the first floor of this newly buil...",3,2,51.3983101,-0.0726008,SE25 4UF,7c20d6ac13b68a65db92f91e0bb935ef
"Winchester Street, South Acton, London",1800,"ZERO DEPOSIT AVAILABLE. LONG LET. Enviably located in the heart of Acton, this superb 1 bedroom flat offers well presented living space with modern neutral interiors.",1,1,51.5058693,-0.2678644,W3,879d347d5101eccec96c463f2c929eaf
"Bayswater Road, London",39000,Luxury Three-Bedroom Apartment with Stunning Hyde Park Views & World-Class Amenities,3,4,51.511597,-0.1759797,W2,c27c64c806cffe56c72c910691662f76
"Wisteria Road, London",1600,"** OPEN DAY TUESDAY 1ST APRIL 5PM-6PM BY APPOINTMENT ONLY ** **Book a viewing instantly 24/7 on Purplebricks website OR via the property brochure** Referencing criteria:
Tenant(s) gross annual household income must be a minimum ; Rent value x 30
OR Guarantor(s) Income: Rent value x36 This cha...",2,1,51.4575245,-0.0055203,SE13,d6de5495769fe0a0695727b0982f2b9f
"Lakeside Drive, London",3300,"3 Bed top floor apartment in this new build complex close to Park Royal. The apartment is on the top floor (26th) offering an open plan reception with fully fitted modern kitchen, including a balcony with picturesque city views.",3,2,51.5311984,-0.282224,NW10,c54dbbb1e01cf85c16a894d27318fe26
"Ashcombe Park, Neasden, London,7QT",1200,*** ALL BILLS AND Wi-Fi INCLUDED *** This beautiful first floor studio flat with bay window offered furnished and available immediately.,0,1,51.5612069,-0.2488947,NW2,7d3a2bde0de66aeb43a6296551ebc846
"Beverley Way, London",1975,"Furnished or Unfurnished*. Explore our newly developed two-bedroom apartments in Coombe Hill, designed with contemporary layouts, sleek finishes, and high-speed Wi-Fi. Choose from furnished or unfurnished options with flexible furnishing possibilities at no extra cost. Each flat features integrat...",2,1,51.4017859,-0.2419263,SW20,63a0596efa99c10db82a1a3e2f4e3415
"Folberth House, London",1650,"Presenting a captivating apartment situated within an exclusive development, offering an unparalleled living experience. Nestled within a secure access area, residents enjoy tranquillity and peace of mind. A dedicated 24-hour support team ensures assistance around the clock. This apartm...",1,1,51.48530460000001,-0.3245966,TW8,88c23496f6ffb0379df7170370d85886
"Teignmouth Road, London",1700,"Available from September. A Superbly located one bedroom fully furnished period conversion in a quiet residential street. This fantastic apartment has a bright and spacious living area, a fully fi... ** Property Reference: 2428933 **",1,1,51.5501444,-0.2144937,NW2,f951daee35a68d8d52f3e3b1a15f0770
"Dartmouth Road, London",2000,"We are proud to offer this delightful 2 bedroom, 1 bathroom terraced house in a great location. Situated in between Forest Hill and Sydenham station, and a short walk up the road from all the bril... ** Property Reference: 1640953 **",2,1,51.435142,-0.0565064,SE26,f24fa55de255589a8a6492c91ebb1277
"Sydney Road, London",1750,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 07 April 2025, this property benefits from garden access. Property is offered furni... ** Property Reference: 2331536 **",2,1,51.6035907,-0.1437266,N10,efbf6fd3c3c4c316f6cfd6c821cb88d8
"Thamesmead, London",1550,"Stunning and spacious 1 bedroom flat in Thamesmead available from 25th May 2025, perfect for young professionals (singles or couples). This cozy and newly renovated flat offers: Spacious bedroom... ** Property Reference: 2428837 **",1,1,51.50575809999999,0.1100586,SE28,cfd0b3e8d58397357b78c26a9f32794d
"Guilford Court, London",3250,Available 27 August 2025 !!!!!..... Heart of Russell Square 2 large bedrooms fully furnished flat + Car Park option Walking distance to LSE UCL KINGS 30 mins to Imperial college by undergroun... ** Property Reference: 2428793 **,2,1,51.5233008,-0.1205597,WC1N,8378cbd44078e1936908c9d18be326ac
"Stafford Terrace, London",2297,"A charming and bright top floor apartment in the heart of the Phillimore Estate in Kensington. The property boasts a good sized living room with separate dining area, separate kitchen, guest cloak... ** Property Reference: 2428764 **",1,1,51.5005889,-0.1970239,W8,31e632f1839fcdc1d70f0dbd899c6d57
"London, London",2500,"We are excited to offer this delightful 1 bedroom, 1 bathroom flat in a great location. It's located on the 4th Floor in the premier Bagel Factory building in Hackney Wick with a private patio. Ga... ** Property Reference: 2428710 **",1,1,51.54128799999999,-0.04111140000000001,E9,b8ccc175b970924bc38f0ef8678566cf
"Clark Street, London",3075,"Private Landlord : professional, full-time property manager. Direct communication with tenants. Available from 21 August 2025 NEWLY RENOVATED 3 double bedroom flat with communal gardens. (Lou... ** Property Reference: 2428698 **",3,1,51.516299,-0.0537575,E1,46472dc6ff90bf55c021d4bc3d823725
"Arabella Drive, London",1300,"This Newly Refurbished studio flat with south facing garden and in the most desired area just few minutes from Barnes station and Richmond park. Summary & Exclusions: - Rent Amount: £1,300.00 per... ** Property Reference: 1754904 **",0,1,51.4649997,-0.2512717,SW15,74f29ec71f7e30acb6f14291fe7f79b8
"Mina Road, London",3600,4 bedroom terraced house that has been just been fully renovated. Be the first to view it. Full photos to be posted very soon. Great for families or professionals who enjoy sharing. It comprise... ** Property Reference: 2349520 **,4,2,51.487355,-0.0793009,SE17,6969a1766c2d7323d13231b952202241
"Selsdon Road, London",1690,"Ground Floor 1/2 Bed Garden Flat in Victorian House:We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Quiet residential neighbourhood.7 mins walk to West Norwoo... ** Property Reference: 2428495 **",2,1,51.4316047,-0.1092162,SE27,b22d44a5d0ef68db568e463cfc6208cc
"Copenhagen Street, London",2800,"Welcome to your perfect London retreat! This spacious, modern 1-bedroom flat is located in the heart of King's Cross, just a short walk from Eurostar at St Pancras International. Ideal for both bu... ** Property Reference: 578095 **",1,1,51.5369114,-0.1160489,N1,04597f3c6132a26dcaa6f75a273b3c73
"Jacquard Point, London",2350,"This lovely one-bedroom apartment in the Silk District(E1) is only 3-minute walk to Whitechapel station with 4 tube and train lines - District Line, Hammersmith & City, Elizabeth Line and Lond... ** Property Reference: 2428564 **",1,1,51.5185849,-0.0569022,E1,a8b96a21b964bdefd13f73c402d03fc1
"Ringstead Road, London",1800,"We are proud to offer this delightful flat, newly refurbished to a high standard - 1 bedroom, 1 bathroom with a large lounge and separate kitchen with access to a private garden and off street par... ** Property Reference: 2428688 **",1,1,51.4465578,-0.0158349,SE6,85c616ac1187d22be1a4422d70cb88f6
"Union Lane, Isleworth",850,- Rent: £850 per month - Deposit: 1 month's rent Rent paid at the start of every month Features: - Double room with ample cupboard space - Perfect for single occupancy - Conveniently located ne... ** Property Reference: 2420301 **,1,1,51.4760295,-0.3244463,TW7,0a56b74572bbeba84efbd32a6692fd70
"Mare Street, London",2350,"Situated in a recently built modern block, right on Mare Street, this extremely spacious, bright, light and airy penthouse 1-bed flat is truly a gem, and at approximately 66 square metres/710 squa... ** Property Reference: 2428546 **",1,1,51.5426569,-0.0552752,E8,6ff6e5e6a18228d73aa60613c1378361
"Stourcliffe Close, London",1450,"A bright and modern double bedroom available in a newly renovated 5-bedroom HMO, just a 5-minute walk from Marble Arch Station. The property is excellently located, offering easy access to central... ** Property Reference: 2428538 **",1,2,51.5157476,-0.1623513,W1H,f822a694850f93091470c627672bde37
"Central Street, London",3750,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 01 April 2025. Property is offered furnished. Viewing highly recommended. Contact... ** Property Reference: 2428026 **",2,1,51.5270854,-0.096797,EC1V,7f2d6a7b8eaa516de61e7558ec49453a
